ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,escolaridade_desc,total_pessoas,qtd_ficou_em_casa,qtd_reduziu_contato,qtd_vida_normal,qtd_trabalhou,qtd_trabalho_remoto,qtd_sintomatico_trabalhando,pct_ficou_em_casa,pct_reduziu_contato,pct_vida_normal,pct_trabalho_remoto,pct_sintomatico_trabalhando
202011,Novembro/2020,60-69,Masculino,Norte,Superior incompleto,24,0,0,0,14,17,1,0.0,0.0,0.0,121.43,4.17
202011,Novembro/2020,60-69,Feminino,Norte,Médio completo,388,0,4,0,68,94,2,0.0,1.03,0.0,138.24,0.52
202011,Novembro/2020,60-69,Masculino,Norte,Pós-graduação,36,0,0,0,19,21,0,0.0,0.0,0.0,110.53,0.0
202011,Novembro/2020,60-69,Feminino,Norte,Médio incompleto,81,0,0,0,12,16,1,0.0,0.0,0.0,133.33,1.23
202011,Novembro/2020,60-69,Masculino,Norte,Sem instrução,204,0,1,0,73,70,2,0.0,0.49,0.0,95.89,0.98
202011,Novembro/2020,60-69,Feminino,Norte,Superior completo,159,0,2,0,38,48,2,0.0,1.26,0.0,126.32,1.26
202011,Novembro/2020,60-69,Feminino,Norte,Fundamental incompleto,740,0,3,0,75,73,2,0.0,0.41,0.0,97.33,0.27
202011,Novembro/2020,60-69,Feminino,Norte,Sem instrução,190,0,0,0,19,9,1,0.0,0.0,0.0,47.37,0.53
202011,Novembro/2020,60-69,Masculino,Norte,Médio completo,274,0,2,0,97,108,3,0.0,0.73,0.0,111.34,1.09
202011,Novembro/2020,60-69,Masculino,Norte,Médio incompleto,75,0,0,0,25,29,1,0.0,0.0,0.0,116.0,1.33
202011,Novembro/2020,60-69,Masculino,Norte,Fundamental completo,155,0,1,0,61,59,0,0.0,0.65,0.0,96.72,0.0
202011,Novembro/2020,60-69,Feminino,Norte,Pós-graduação,46,1,0,0,13,18,0,2.17,0.0,0.0,138.46,0.0
202011,Novembro/2020,60-69,Feminino,Norte,Superior incompleto,16,0,0,0,5,5,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,60-69,Masculino,Norte,Fundamental incompleto,727,1,2,0,289,276,6,0.14,0.28,0.0,95.5,0.83
202011,Novembro/2020,60-69,Feminino,Norte,Fundamental completo,173,0,1,0,25,22,2,0.0,0.58,0.0,88.0,1.16
202011,Novembro/2020,60-69,Masculino,Norte,Superior completo,135,0,1,0,66,79,0,0.0,0.74,0.0,119.7,0.0
202011,Novembro/2020,70+,Feminino,Norte,Fundamental completo,144,0,0,0,3,1,0,0.0,0.0,0.0,33.33,0.0
202011,Novembro/2020,70+,Feminino,Norte,Pós-graduação,11,0,0,0,3,2,0,0.0,0.0,0.0,66.67,0.0
202011,Novembro/2020,70+,Feminino,Norte,Superior incompleto,12,0,1,0,2,2,0,0.0,8.33,0.0,100.0,0.0
202011,Novembro/2020,70+,Masculino,Norte,Sem instrução,297,0,0,0,31,22,0,0.0,0.0,0.0,70.97,0.0
202011,Novembro/2020,70+,Masculino,Norte,Fundamental completo,117,0,0,0,15,13,0,0.0,0.0,0.0,86.67,0.0
202011,Novembro/2020,70+,Masculino,Norte,Médio incompleto,40,0,0,0,9,6,0,0.0,0.0,0.0,66.67,0.0
202011,Novembro/2020,70+,Masculino,Norte,Fundamental incompleto,504,0,0,0,65,54,2,0.0,0.0,0.0,83.08,0.4
202011,Novembro/2020,70+,Feminino,Norte,Sem instrução,374,0,2,0,5,2,1,0.0,0.53,0.0,40.0,0.27
202011,Novembro/2020,70+,Masculino,Norte,Superior completo,50,0,1,0,8,7,0,0.0,2.0,0.0,87.5,0.0
202011,Novembro/2020,70+,Feminino,Norte,Superior completo,67,0,0,0,1,2,0,0.0,0.0,0.0,200.0,0.0
202011,Novembro/2020,70+,Masculino,Norte,Superior incompleto,9,0,0,0,3,3,0,0.0,0.0,0.0,100.0,0.0
202011,Novembro/2020,70+,Masculino,Norte,Pós-graduação,12,0,0,0,3,5,0,0.0,0.0,0.0,166.67,0.0
202011,Novembro/2020,70+,Masculino,Norte,Médio completo,133,1,0,0,11,13,0,0.75,0.0,0.0,118.18,0.0
202011,Novembro/2020,70+,Feminino,Norte,Médio completo,171,0,2,0,3,6,0,0.0,1.17,0.0,200.0,0.0
202011,Novembro/2020,70+,Feminino,Norte,Fundamental incompleto,517,2,1,0,8,5,0,0.39,0.19,0.0,62.5,0.0
