ano_mes,mes_desc,faixa_etaria,sexo_desc,cor_raca_desc,escolaridade_desc,total_pessoas,qtd_trabalhou,qtd_trabalho_remoto,qtd_bolsa_familia,qtd_auxilio_emergencial,qtd_sintomaticos,pct_trabalhou,pct_trabalho_remoto,pct_bolsa_familia,pct_auxilio_emergencial,pct_sintomaticos
202011,Novembro/2020,70+,Masculino,Preta,Médio incompleto,32,4,3,1,3,0,12.5,75.0,3.13,9.38,0.0
202011,Novembro/2020,70+,Masculino,Amarela,Fundamental completo,18,2,2,1,0,0,11.11,100.0,5.56,0.0,0.0
202011,Novembro/2020,70+,Masculino,Parda,Fundamental incompleto,2434,301,217,37,180,70,12.37,72.09,1.52,7.4,2.88
202011,Novembro/2020,70+,Masculino,Parda,Superior incompleto,37,6,7,1,1,1,16.22,116.67,2.7,2.7,2.7
202011,Novembro/2020,70+,Masculino,Preta,Superior completo,27,3,4,0,1,0,11.11,133.33,0.0,3.7,0.0
202011,Novembro/2020,70+,Masculino,Indígena,Médio incompleto,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Preta,Sem instrução,331,23,9,7,25,6,6.95,39.13,2.11,7.55,1.81
202011,Novembro/2020,70+,Masculino,Preta,Fundamental completo,98,5,6,1,9,0,5.1,120.0,1.02,9.18,0.0
202011,Novembro/2020,70+,Masculino,Amarela,Médio completo,22,3,3,1,2,1,13.64,100.0,4.55,9.09,4.55
202011,Novembro/2020,70+,Masculino,Branca,Médio incompleto,184,22,20,5,8,7,11.96,90.91,2.72,4.35,3.8
202011,Novembro/2020,70+,Masculino,Preta,Médio completo,93,8,9,3,5,0,8.6,112.5,3.23,5.38,0.0
202011,Novembro/2020,70+,Masculino,Branca,Médio completo,822,92,96,17,51,19,11.19,104.35,2.07,6.2,2.31
202011,Novembro/2020,70+,Masculino,Branca,Superior completo,776,166,175,16,40,9,21.39,105.42,2.06,5.15,1.16
202011,Novembro/2020,70+,Masculino,Preta,Fundamental incompleto,442,44,38,10,24,14,9.95,86.36,2.26,5.43,3.17
202011,Novembro/2020,70+,Masculino,Indígena,Sem instrução,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Amarela,Sem instrução,12,3,2,0,1,1,25.0,66.67,0.0,8.33,8.33
202011,Novembro/2020,70+,Masculino,Parda,Superior completo,179,26,30,1,14,4,14.53,115.38,0.56,7.82,2.23
202011,Novembro/2020,70+,Masculino,Branca,Fundamental incompleto,2939,408,340,62,172,77,13.88,83.33,2.11,5.85,2.62
202011,Novembro/2020,70+,Masculino,Parda,Sem instrução,1584,135,74,36,125,34,8.52,54.81,2.27,7.89,2.15
202011,Novembro/2020,70+,Masculino,Indígena,Fundamental incompleto,14,1,1,0,0,0,7.14,100.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Branca,Fundamental completo,761,98,94,17,38,17,12.88,95.92,2.23,4.99,2.23
202011,Novembro/2020,70+,Masculino,Amarela,Pós-graduação,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Indígena,Fundamental completo,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Indígena,Superior completo,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Amarela,Superior incompleto,6,1,1,0,0,0,16.67,100.0,0.0,0.0,0.0
202011,Novembro/2020,70+,Masculino,Amarela,Médio incompleto,7,3,2,0,0,0,42.86,66.67,0.0,0.0,0.0
