ano_mes,mes_desc,faixa_etaria,sexo_desc,regiao,total_pessoas,qtd_procurou_saude,qtd_internado,qtd_plano_saude,qtd_sintomaticos,pct_procurou_saude,pct_internado,pct_plano_saude,pct_sintomaticos,taxa_internacao_sintomaticos
202010,Outubro/2020,60-69,Masculino,Nordeste,4312,33,1,185,82,0.77,0.02,4.29,1.9,1.22
202010,Outubro/2020,70+,Feminino,Nordeste,4647,47,4,57,87,1.01,0.09,1.23,1.87,4.6
202010,Outubro/2020,70+,Masculino,Nordeste,3594,27,2,104,71,0.75,0.06,2.89,1.98,2.82
202010,Outubro/2020,0-17,Feminino,Norte,6528,69,0,326,144,1.06,0.0,4.99,2.21,0.0
202010,Outubro/2020,0-17,Masculino,Norte,6795,54,0,362,147,0.79,0.0,5.33,2.16,0.0
202010,Outubro/2020,18-29,Feminino,Norte,4570,52,0,347,115,1.14,0.0,7.59,2.52,0.0
202010,Outubro/2020,18-29,Masculino,Norte,4593,38,0,352,113,0.83,0.0,7.66,2.46,0.0
202010,Outubro/2020,30-39,Feminino,Norte,3731,52,0,280,118,1.39,0.0,7.5,3.16,0.0
202010,Outubro/2020,30-39,Masculino,Norte,3466,37,0,302,82,1.07,0.0,8.71,2.37,0.0
202010,Outubro/2020,40-49,Feminino,Norte,3461,64,0,225,100,1.85,0.0,6.5,2.89,0.0
202010,Outubro/2020,40-49,Masculino,Norte,3100,38,0,242,94,1.23,0.0,7.81,3.03,0.0
202010,Outubro/2020,50-59,Feminino,Norte,2762,40,0,123,87,1.45,0.0,4.45,3.15,0.0
202010,Outubro/2020,50-59,Masculino,Norte,2394,22,1,140,61,0.92,0.04,5.85,2.55,1.64
202010,Outubro/2020,60-69,Feminino,Norte,1746,31,0,68,54,1.78,0.0,3.89,3.09,0.0
202010,Outubro/2020,60-69,Masculino,Norte,1613,23,0,85,36,1.43,0.0,5.27,2.23,0.0
202010,Outubro/2020,70+,Feminino,Norte,1288,16,2,27,34,1.24,0.16,2.1,2.64,5.88
202010,Outubro/2020,70+,Masculino,Norte,1125,12,0,39,39,1.07,0.0,3.47,3.47,0.0
202010,Outubro/2020,0-17,Feminino,Sudeste,11371,79,0,410,152,0.69,0.0,3.61,1.34,0.0
202010,Outubro/2020,0-17,Masculino,Sudeste,11878,78,0,408,190,0.66,0.0,3.43,1.6,0.0
202010,Outubro/2020,18-29,Feminino,Sudeste,8564,76,1,427,165,0.89,0.01,4.99,1.93,0.61
202010,Outubro/2020,18-29,Masculino,Sudeste,8600,67,0,508,158,0.78,0.0,5.91,1.84,0.0
202010,Outubro/2020,30-39,Feminino,Sudeste,8458,101,2,394,194,1.19,0.02,4.66,2.29,1.03
202010,Outubro/2020,30-39,Masculino,Sudeste,7651,61,0,417,152,0.8,0.0,5.45,1.99,0.0
202010,Outubro/2020,40-49,Feminino,Sudeste,8707,88,2,376,187,1.01,0.02,4.32,2.15,1.07
202010,Outubro/2020,40-49,Masculino,Sudeste,7668,50,1,428,102,0.65,0.01,5.58,1.33,0.98
202010,Outubro/2020,50-59,Feminino,Sudeste,8344,93,3,314,192,1.11,0.04,3.76,2.3,1.56
202010,Outubro/2020,50-59,Masculino,Sudeste,7244,58,1,369,111,0.8,0.01,5.09,1.53,0.9
202010,Outubro/2020,60-69,Feminino,Sudeste,7055,67,1,195,156,0.95,0.01,2.76,2.21,0.64
202010,Outubro/2020,60-69,Masculino,Sudeste,5661,45,2,224,112,0.79,0.04,3.96,1.98,1.79
202010,Outubro/2020,70+,Feminino,Sudeste,5953,64,4,81,146,1.08,0.07,1.36,2.45,2.74
202010,Outubro/2020,70+,Masculino,Sudeste,4373,47,0,119,81,1.07,0.0,2.72,1.85,0.0
202010,Outubro/2020,0-17,Feminino,Sul,6510,43,0,130,78,0.66,0.0,2.0,1.2,0.0
202010,Outubro/2020,0-17,Masculino,Sul,6955,61,0,140,116,0.88,0.0,2.01,1.67,0.0
202010,Outubro/2020,18-29,Feminino,Sul,4832,68,1,143,118,1.41,0.02,2.96,2.44,0.85
202010,Outubro/2020,18-29,Masculino,Sul,4951,56,0,182,97,1.13,0.0,3.68,1.96,0.0
202010,Outubro/2020,30-39,Feminino,Sul,4742,70,0,145,110,1.48,0.0,3.06,2.32,0.0
202010,Outubro/2020,30-39,Masculino,Sul,4423,54,0,164,92,1.22,0.0,3.71,2.08,0.0
202010,Outubro/2020,40-49,Feminino,Sul,4987,64,0,173,103,1.28,0.0,3.47,2.07,0.0
202010,Outubro/2020,40-49,Masculino,Sul,4464,52,0,163,101,1.16,0.0,3.65,2.26,0.0
202010,Outubro/2020,50-59,Feminino,Sul,5319,77,0,131,117,1.45,0.0,2.46,2.2,0.0
202010,Outubro/2020,50-59,Masculino,Sul,4634,32,0,190,69,0.69,0.0,4.1,1.49,0.0
202010,Outubro/2020,60-69,Feminino,Sul,4086,48,0,73,109,1.17,0.0,1.79,2.67,0.0
202010,Outubro/2020,60-69,Masculino,Sul,3605,32,0,104,72,0.89,0.0,2.88,2.0,0.0
202010,Outubro/2020,70+,Feminino,Sul,3480,40,0,33,78,1.15,0.0,0.95,2.24,0.0
202010,Outubro/2020,70+,Masculino,Sul,2576,27,2,34,58,1.05,0.08,1.32,2.25,3.45
202011,Novembro/2020,0-17,Feminino,Centro-Oeste,4658,38,0,175,84,0.82,0.0,3.76,1.8,0.0
202011,Novembro/2020,0-17,Masculino,Centro-Oeste,4983,30,0,183,74,0.6,0.0,3.67,1.49,0.0
202011,Novembro/2020,18-29,Feminino,Centro-Oeste,3356,46,0,174,98,1.37,0.0,5.18,2.92,0.0
202011,Novembro/2020,18-29,Masculino,Centro-Oeste,3322,40,0,209,68,1.2,0.0,6.29,2.05,0.0
202011,Novembro/2020,30-39,Feminino,Centro-Oeste,3139,46,0,136,85,1.47,0.0,4.33,2.71,0.0
202011,Novembro/2020,30-39,Masculino,Centro-Oeste,2908,32,2,169,57,1.1,0.07,5.81,1.96,3.51
202011,Novembro/2020,40-49,Feminino,Centro-Oeste,3328,50,1,153,85,1.5,0.03,4.6,2.55,1.18
202011,Novembro/2020,40-49,Masculino,Centro-Oeste,2888,36,1,138,67,1.25,0.03,4.78,2.32,1.49
202011,Novembro/2020,50-59,Feminino,Centro-Oeste,3039,41,0,91,67,1.35,0.0,2.99,2.2,0.0
202011,Novembro/2020,50-59,Masculino,Centro-Oeste,2596,34,0,115,60,1.31,0.0,4.43,2.31,0.0
202011,Novembro/2020,60-69,Feminino,Centro-Oeste,2126,26,0,47,55,1.22,0.0,2.21,2.59,0.0
202011,Novembro/2020,60-69,Masculino,Centro-Oeste,1801,23,2,70,36,1.28,0.11,3.89,2.0,5.56
202011,Novembro/2020,70+,Feminino,Centro-Oeste,1554,19,0,24,32,1.22,0.0,1.54,2.06,0.0
202011,Novembro/2020,70+,Masculino,Centro-Oeste,1308,13,2,26,32,0.99,0.15,1.99,2.45,6.25
202011,Novembro/2020,0-17,Feminino,Nordeste,14928,113,1,809,290,0.76,0.01,5.42,1.94,0.34
202011,Novembro/2020,0-17,Masculino,Nordeste,15276,116,0,794,309,0.76,0.0,5.2,2.02,0.0
202011,Novembro/2020,18-29,Feminino,Nordeste,10473,74,2,739,234,0.71,0.02,7.06,2.23,0.85
202011,Novembro/2020,18-29,Masculino,Nordeste,10059,52,0,821,181,0.52,0.0,8.16,1.8,0.0
202011,Novembro/2020,30-39,Feminino,Nordeste,9295,110,0,606,259,1.18,0.0,6.52,2.79,0.0
202011,Novembro/2020,30-39,Masculino,Nordeste,8159,61,2,648,205,0.75,0.02,7.94,2.51,0.98
202011,Novembro/2020,40-49,Feminino,Nordeste,8677,95,0,474,229,1.09,0.0,5.46,2.64,0.0
202011,Novembro/2020,40-49,Masculino,Nordeste,7412,62,1,503,151,0.84,0.01,6.79,2.04,0.66
202011,Novembro/2020,50-59,Feminino,Nordeste,7671,74,1,343,177,0.96,0.01,4.47,2.31,0.56
202011,Novembro/2020,50-59,Masculino,Nordeste,6346,37,1,423,130,0.58,0.02,6.67,2.05,0.77
202011,Novembro/2020,60-69,Feminino,Nordeste,5350,58,0,160,121,1.08,0.0,2.99,2.26,0.0
202011,Novembro/2020,60-69,Masculino,Nordeste,4316,29,1,201,76,0.67,0.02,4.66,1.76,1.32
202011,Novembro/2020,70+,Feminino,Nordeste,4719,40,1,75,93,0.85,0.02,1.59,1.97,1.08
202011,Novembro/2020,70+,Masculino,Nordeste,3650,30,0,93,79,0.82,0.0,2.55,2.16,0.0
202011,Novembro/2020,0-17,Feminino,Norte,6537,47,0,356,109,0.72,0.0,5.45,1.67,0.0
202011,Novembro/2020,0-17,Masculino,Norte,6795,43,0,328,118,0.63,0.0,4.83,1.74,0.0
202011,Novembro/2020,18-29,Feminino,Norte,4571,42,0,384,116,0.92,0.0,8.4,2.54,0.0
202011,Novembro/2020,18-29,Masculino,Norte,4576,31,0,414,92,0.68,0.0,9.05,2.01,0.0
202011,Novembro/2020,30-39,Feminino,Norte,3724,46,1,309,100,1.24,0.03,8.3,2.69,1.0
202011,Novembro/2020,30-39,Masculino,Norte,3471,36,0,324,81,1.04,0.0,9.33,2.33,0.0
202011,Novembro/2020,40-49,Feminino,Norte,3516,46,0,276,87,1.31,0.0,7.85,2.47,0.0
202011,Novembro/2020,40-49,Masculino,Norte,3107,27,0,261,65,0.87,0.0,8.4,2.09,0.0
202011,Novembro/2020,50-59,Feminino,Norte,2835,49,0,120,100,1.73,0.0,4.23,3.53,0.0
202011,Novembro/2020,50-59,Masculino,Norte,2449,24,0,169,59,0.98,0.0,6.9,2.41,0.0
202011,Novembro/2020,60-69,Feminino,Norte,1793,23,1,63,61,1.28,0.06,3.51,3.4,1.64
202011,Novembro/2020,60-69,Masculino,Norte,1630,14,0,76,35,0.86,0.0,4.66,2.15,0.0
202011,Novembro/2020,70+,Feminino,Norte,1329,13,0,35,38,0.98,0.0,2.63,2.86,0.0
202011,Novembro/2020,70+,Masculino,Norte,1162,10,0,41,26,0.86,0.0,3.53,2.24,0.0
202011,Novembro/2020,0-17,Feminino,Sudeste,11351,87,0,421,214,0.77,0.0,3.71,1.89,0.0
202011,Novembro/2020,0-17,Masculino,Sudeste,11814,83,0,406,213,0.7,0.0,3.44,1.8,0.0
202011,Novembro/2020,18-29,Feminino,Sudeste,8523,144,0,435,259,1.69,0.0,5.1,3.04,0.0
202011,Novembro/2020,18-29,Masculino,Sudeste,8583,93,0,487,188,1.08,0.0,5.67,2.19,0.0
202011,Novembro/2020,30-39,Feminino,Sudeste,8416,119,2,401,242,1.41,0.02,4.76,2.88,0.83
202011,Novembro/2020,30-39,Masculino,Sudeste,7603,106,0,430,202,1.39,0.0,5.66,2.66,0.0
202011,Novembro/2020,40-49,Feminino,Sudeste,8774,104,0,352,215,1.19,0.0,4.01,2.45,0.0
202011,Novembro/2020,40-49,Masculino,Sudeste,7690,54,0,403,145,0.7,0.0,5.24,1.89,0.0
202011,Novembro/2020,50-59,Feminino,Sudeste,8343,122,0,263,239,1.46,0.0,3.15,2.86,0.0
202011,Novembro/2020,50-59,Masculino,Sudeste,7224,62,0,366,146,0.86,0.0,5.07,2.02,0.0
202011,Novembro/2020,60-69,Feminino,Sudeste,7024,90,1,211,175,1.28,0.01,3.0,2.49,0.57
202011,Novembro/2020,60-69,Masculino,Sudeste,5715,56,2,226,139,0.98,0.03,3.95,2.43,1.44
202011,Novembro/2020,70+,Feminino,Sudeste,5965,62,6,81,153,1.04,0.1,1.36,2.56,3.92
202011,Novembro/2020,70+,Masculino,Sudeste,4346,44,2,118,98,1.01,0.05,2.72,2.25,2.04
202011,Novembro/2020,0-17,Feminino,Sul,6467,43,0,150,102,0.66,0.0,2.32,1.58,0.0
202011,Novembro/2020,0-17,Masculino,Sul,6879,48,0,172,120,0.7,0.0,2.5,1.74,0.0
202011,Novembro/2020,18-29,Feminino,Sul,4755,91,0,140,150,1.91,0.0,2.94,3.15,0.0
202011,Novembro/2020,18-29,Masculino,Sul,4884,83,0,172,144,1.7,0.0,3.52,2.95,0.0
202011,Novembro/2020,30-39,Feminino,Sul,4759,91,0,143,158,1.91,0.0,3.0,3.32,0.0
202011,Novembro/2020,30-39,Masculino,Sul,4411,72,0,165,121,1.63,0.0,3.74,2.74,0.0
202011,Novembro/2020,40-49,Feminino,Sul,4956,99,1,134,155,2.0,0.02,2.7,3.13,0.65
202011,Novembro/2020,40-49,Masculino,Sul,4462,50,0,158,102,1.12,0.0,3.54,2.29,0.0
202011,Novembro/2020,50-59,Feminino,Sul,5290,102,1,111,157,1.93,0.02,2.1,2.97,0.64
202011,Novembro/2020,50-59,Masculino,Sul,4573,65,0,140,103,1.42,0.0,3.06,2.25,0.0
202011,Novembro/2020,60-69,Feminino,Sul,4110,59,0,64,118,1.44,0.0,1.56,2.87,0.0
202011,Novembro/2020,60-69,Masculino,Sul,3618,38,0,88,85,1.05,0.0,2.43,2.35,0.0
202011,Novembro/2020,70+,Feminino,Sul,3476,46,2,36,95,1.32,0.06,1.04,2.73,2.11
202011,Novembro/2020,70+,Masculino,Sul,2595,40,2,37,74,1.54,0.08,1.43,2.85,2.7
